(1) Last Man in is Gonna Win - Adrian Peterson RB
(2) Team Fulena - Drew Brees QB
(3) Team Hannes - Aaron Rodgers QB
(4) Sofa King Good Dude - Arian Foster RB
(5) Team IRule - Tom Brady QB
(6) Silver and Fine Cutlery - Peyton Manning QB
** (7) Team Kelly - Doug Martin RB
(8) ICANT LOGIN - Marshawn Lynch RB
(9) Colt .45s - Ray Rice RB
(10) Chicken Pizza - Trent Richardson RB
(11) Chicken Pizza - Calvin Johnson WR
(12) Colt .45s - C.J. Spiller RB
(13) ICANT LOGIN - Jamaal Charles RB
** (14) Team Kelly - Alfred Morris RB
(15) Silver and Fine Cutlery - Matt Forte RB
(16) Team IRule - Dez Bryant WR
(17) Sofa King Good Dude - LeSean McCoy RB
(18) Team Hannes - Frank Gore RB
(19) Team Fulena - A.J. Green WR
(20) Last Man in is Gonna Win - Reggie Bush RB
(21) Last Man in is Gonna Win - Brandon Marshall WR
(22) Team Fulena - Steven Jackson RB
(23) Team Hannes - Julio Jones WR
(24) Sofa King Good Dude - Stevan Ridley RB
(25) Team IRule - Roddy White WR
(26) Silver and Fine Cutlery - Chris Johnson RB
** (27) Team Kelly - Randall Cobb WR
(28) ICANT LOGIN - Matt Ryan QB
(29) Colt .45s - Demaryius Thomas WR
(30) Chicken Pizza - Cam Newton QB
(31) Chicken Pizza - Montee Ball RB
(32) Colt .45s - Andre Johnson WR
(33) ICANT LOGIN - Larry Fitzgerald WR
** (34) Team Kelly - Jimmy Graham TE
(35) Silver and Fine Cutlery - David Wilson RB
(36) Team IRule - Wes Welker WR
(37) Sofa King Good Dude - Vincent Jackson WR
(38) Team Hannes - Maurice Jones-Drew RB
(39) Team Fulena - Rashard Mendenhall RB
(40) Last Man in is Gonna Win - Reggie Wayne WR
(41) Last Man in is Gonna Win - Giovani Bernard RB
(42) Team Fulena - Victor Cruz WR
(43) Team Hannes - Marques Colston WR
(44) Sofa King Good Dude - Mike Wallace WR
(45) Team IRule - Darren Sproles RB
(46) Silver and Fine Cutlery - James Jones WR
** (47) Team Kelly - Jordy Nelson WR
(48) ICANT LOGIN - Torrey Smith WR
(49) Colt .45s - Darren McFadden RB
(50) Chicken Pizza - Danny Amendola WR
(51) Chicken Pizza - Luke Kuechly LB
(52) Colt .45s - Matthew Stafford QB
(53) ICANT LOGIN - Greg Olsen TE
** (54) Team Kelly - J.J. Watt DE
(55) Silver and Fine Cutlery - Tony Gonzalez TE
(56) Team IRule - Steve Smith WR
(57) Sofa King Good Dude - Colin Kaepernick QB
(58) Team Hannes - Vernon Davis TE
(59) Team Fulena - Owen Daniels TE
(60) Last Man in is Gonna Win - Andrew Luck QB
(61) Last Man in is Gonna Win - Tavon Austin WR
(62) Team Fulena - Eric Decker WR
(63) Team Hannes - Jason Witten TE
(64) Sofa King Good Dude - Eddie Lacy RB
(65) Team IRule - DeMarco Murray RB
(66) Silver and Fine Cutlery - Antonio Brown WR
** (67) Team Kelly - Tony Romo QB
(68) ICANT LOGIN - Dwayne Bowe WR
(69) Colt .45s - Hakeem Nicks WR
(70) Chicken Pizza - Lamar Miller RB
(71) Chicken Pizza - Jermichael Finley TE
(72) Colt .45s - Rob Gronkowski TE
(73) ICANT LOGIN - Robert Griffin III QB
** (74) Team Kelly - Jason Pierre-Paul DE
(75) Silver and Fine Cutlery - NaVorro Bowman LB
(76) Team IRule - Kyle Rudolph TE
(77) Sofa King Good Dude - Pierre Garcon WR
(78) Team Hannes - London Fletcher LB
(79) Team Fulena - Anquan Boldin WR
(80) Last Man in is Gonna Win - Patrick Peterson CB
(81) Last Man in is Gonna Win - James Laurinaitis LB
(82) Team Fulena - Ryan Mathews RB
(83) Team Hannes - DeSean Jackson WR
(84) Sofa King Good Dude - Cecil Shorts WR
(85) Team IRule - Jared Allen DE
(86) Silver and Fine Cutlery - Cameron Wake DE
** (87) Team Kelly - Steve Johnson WR
(88) ICANT LOGIN - Chris Ivory RB
(89) Colt .45s - Broncos Coach HC
(90) Chicken Pizza - Greg Jennings WR
(91) Chicken Pizza - DeMarcus Ware LB
(92) Colt .45s - Falcons Coach HC
(93) ICANT LOGIN - Ahmad Bradshaw RB
** (94) Team Kelly - Morgan Burnett S
(95) Silver and Fine Cutlery - Harrison Smith S
(96) Team IRule - Devin McCourty CB
(97) Sofa King Good Dude - Russell Wilson QB
(98) Team Hannes - Mario Williams DE
(99) Team Fulena - Bernard Pollard S
(100) Last Man in is Gonna Win - Julius Peppers DE
(101) Last Man in is Gonna Win - Antonio Gates TE
(102) Team Fulena - Sean Lee LB
(103) Team Hannes - Eric Weddle S
(104) Sofa King Good Dude - Brandon Myers TE
(105) Team IRule - BenJarvus Green-Ellis RB
(106) Silver and Fine Cutlery - Matt Schaub QB
** (107) Team Kelly - Jerod Mayo LB
(108) ICANT LOGIN - Sidney Rice WR
(109) Colt .45s - Derrick Johnson LB
(110) Chicken Pizza - Charles Tillman CB
(111) Chicken Pizza - Le'Veon Bell RB
(112) Colt .45s - Stephen Gostkowski K
(113) ICANT LOGIN - Jared Cook TE
** (114) Team Kelly - T.Y. Hilton WR
(115) Silver and Fine Cutlery - DeAngelo Williams RB
(116) Team IRule - Michael Vick QB
(117) Sofa King Good Dude - Blair Walsh K
(118) Team Hannes - Eli Manning QB
(119) Team Fulena - Charles Johnson DE
(120) Last Man in is Gonna Win - Geno Atkins DT
(121) Last Man in is Gonna Win - 49ers Coach HC
(122) Team Fulena - Packers Coach HC
(123) Team Hannes - Josh Gordon WR
(124) Sofa King Good Dude - Martellus Bennett TE
(125) Team IRule - Daryl Washington LB
(126) Silver and Fine Cutlery - Bobby Wagner LB
** (127) Team Kelly - Matt Bryant K
(128) ICANT LOGIN - Justin Tucker K
(129) Colt .45s - Elvis Dumervil DE
(130) Chicken Pizza - Jay Cutler QB
(131) Chicken Pizza - Seahawks Coach HC
(132) Colt .45s - Chad Greenway LB
(133) ICANT LOGIN - Matt Prater K
** (134) Team Kelly - Texans Coach HC
(135) Silver and Fine Cutlery - Lavonte David LB
(136) Team IRule - Shane Vereen RB
(137) Sofa King Good Dude - Phil Dawson K
(138) Team Hannes - David Akers K
(139) Team Fulena - Daryl Richardson RB
(140) Last Man in is Gonna Win - Aldon Smith LB
(141) Last Man in is Gonna Win - Jordan Cameron TE
(142) Team Fulena - Brandon Pettigrew TE
(143) Team Hannes - Ronnie Hillman RB
(144) Sofa King Good Dude - Randy Bullock K
(145) Team IRule - Garrett Hartley K
(146) Silver and Fine Cutlery - Sebastian Janikowski K
** (147) Team Kelly - Vick Ballard RB
(148) ICANT LOGIN - Josh Brown K
(149) Colt .45s - Mike Williams WR
(150) Chicken Pizza - Kenbrell Thompkins WR
(151) Chicken Pizza - Ezekiel Ansah DE
(152) Colt .45s - Cameron Jordan DE
(153) ICANT LOGIN - Patrick Willis LB
** (154) Team Kelly - Mark Ingram RB
(155) Silver and Fine Cutlery - Lance Moore WR
(156) Team IRule - Dallas Clark TE
(157) Sofa King Good Dude - D'Qwell Jackson LB
(158) Team Hannes - Clay Matthews LB
(159) Team Fulena - Dan Bailey K
(160) Last Man in is Gonna Win - Emmanuel Sanders WR
(161) Last Man in is Gonna Win - Danny Woodhead RB
(162) Team Fulena - Paul Posluszny LB
(163) Team Hannes - Patriots Coach HC
(164) Sofa King Good Dude - Sean Weatherspoon LB
(165) Team IRule - Justin Smith DT
(166) Silver and Fine Cutlery - Miles Austin WR
** (167) Team Kelly - Philip Rivers QB
(168) ICANT LOGIN - Brian Cushing LB
(169) Colt .45s - Ben Tate RB
(170) Chicken Pizza - Jon Bostic LB
(171) Chicken Pizza - Eric Berry S
(172) Colt .45s - Cortland Finnegan CB
(173) ICANT LOGIN - Greg Hardy DE
** (174) Team Kelly - Julius Thomas TE
(175) Silver and Fine Cutlery - Saints Coach HC
(176) Team IRule - Lawrence Timmons LB
(177) Sofa King Good Dude - Calais Campbell DE
(178) Team Hannes - Mason Foster LB
(179) Team Fulena - Tyvon Branch S
(180) Last Man in is Gonna Win - Sam Bradford QB
(181) Last Man in is Gonna Win - Greg Zuerlein K
(182) Team Fulena - DeAngelo Hall CB
(183) Team Hannes - Isaac Redman RB
(184) Sofa King Good Dude - William Moore S
(185) Team IRule - D.J. Williams LB
(186) Silver and Fine Cutlery - LaRon Landry S
** (187) Team Kelly - Wesley Woodyard LB
(188) ICANT LOGIN - Mark Barron S
(189) Colt .45s - Zach Sudfeld TE
(190) Chicken Pizza - Ndamukong Suh DT
(191) Chicken Pizza - Robbie Gould K
(192) Colt .45s - Rob Ninkovich LB
(193) ICANT LOGIN - Ravens Coach HC
** (194) Team Kelly - Reshad Jones S
(195) Silver and Fine Cutlery - Jason McCourty CB
(196) Team IRule - Colts Coach HC
(197) Sofa King Good Dude - Bengals Coach HC
(198) Team Hannes - Steven Hauschka K
(199) Team Fulena - Alex Smith QB
(200) Last Man in is Gonna Win - Tim Jennings CB
